id,kvadratura,tip,leto,cena,regija,upravna,obcina
6225422,60, 2-sobno,2018,"850,00",LJ-mesto, Lj. Šiška,Ljubljana
6254430,63, 3-sobno,2017,"700,00",Istrska, VSE,Umag
6285984,55, 2-sobno,2009,"800,00",Gorenjska, Radovljica,Bled
6297862,180, 4-sobno,2008,"990,00",LJ-okolica, Vrhnika,Vrhnika
6314572,65, 2-sobno,2010,"900,00",J. Primorska, Koper,Ankaran
6315572,65, 2-sobno,2009,"900,00",J. Primorska, Koper,Ankaran
6316214,"105,5", 5 in večsobno,2005,"1.500,00",LJ-mesto, Lj. Moste-Polje,Ljubljana
6320124,38, 1-sobno,1978,"500,00",Gorenjska, Radovljica,Bled
6330120,45, 1-sobno,2006,"500,00",Gorenjska, Radovljica,Bled
6332124,40, 2-sobno,2018,"1.750,00",Primorsko-goranska, VSE,Baška
6334909,38, 1-sobno,2019,"500,00",Gorenjska, Radovljica,Bled
6351515,100, 3-sobno,2020,"750,00",LJ-mesto, Lj. Moste-Polje,Ljubljana
6353699,56, 1-sobno,2019,"550,00",LJ-mesto, Lj. Šiška,Ljubljana
6359134,16, soba,2018,"270,00",Gorenjska, Radovljica,Bled
6361096,77, 3-sobno,2015,"750,00",LJ-mesto, Lj. Bežigrad,Ljubljana
6361832,"37,1", garsonjera,2019,"570,00",Gorenjska, Radovljica,Bled
6361967,70, 3-sobno,2018,"550,00",Notranjska, Cerknica,Cerknica
6364414,25, soba,1997,"130,00",Posavska, Brežice,Brežice
6365220,74, 3-sobno,2019,"700,00",Gorenjska, Radovljica,Radovljica
6365550,25, garsonjera,2018,"400,00",Gorenjska, Radovljica,Bled
6366165,35, garsonjera,2010,"375,00",J. Primorska, Koper,Ankaran
6366878,40, 2-sobno,1998,"650,00",Gorenjska, Radovljica,Bled
6367167,"90,7"," 3,5-sobno",2018,"1.050,00",LJ-mesto, Lj. Bežigrad,Ljubljana
6368988,53, 1-sobno,2008,"750,00",J. Primorska, Koper,Ankaran
6371855,54, 2-sobno,2016,"600,00",Gorenjska, Radovljica,Bled
6371945,30, garsonjera,2018,"450,00",Gorenjska, Radovljica,Bled
6372607,90," 2,5-sobno",2015,"150,00",Savinjska, Šentjur,Šentjur
6373115,"42,71", 1-sobno,2001,"620,00",LJ-mesto, Lj. Šiška,Ljubljana
6373718,43, garsonjera,2018,"300,00",Gorenjska, Radovljica,Bled
6373880,"87,3", 3-sobno,1974,"500,00",Gorenjska, Tržič,Tržič
